,Unnamed: 0.1,Job Title,Company,location,site,jobtype,health_insurance,Dental_insurance,years of experience,benefits_401k,stocks,date_posted,lower_limit_salary,upper_limit_salary
65,65,MLRC Quantitative Research Director,University of Wisconsin-Madison,Madison,Chronicle Of Higher Education,Full-time,0,0,0,1,1,30,100000,100000.0
67,67,Quantitative Researcher (Power),Comity,New York,ClimateTechList,Full-time,0,0,3,0,0,1,268800,345600.0
69,69,Systematic Quant Research Analyst,PIMCO,Newport Beach,Indeed,Full-time,0,0,3,1,1,30,165000,225000.0
70,70,Sr. Quantitative Survey Researcher,Gartner,United States • via Adzuna,Adzuna,Full-time,1,0,0,1,1,29,7200,7200.0
72,72,Quantitative Researcher,EXCH The NASDAQ Stock Market LLC,Atlanta,ZipRecruiter,Full-time,1,1,0,1,1,30,19200,19200.0
76,76,Quantitative Researcher,Goliath Partners,Chicago,Goliath Partners,Full-time,1,0,3,1,0,30,650,5760.0
78,78,Senior Quantitative Researcher (Remote),Panasonic North America,Anywhere • via LinkedIn,LinkedIn,Full-time,1,0,5,0,1,10,130000,150000.0
84,84,"Associate, Quantitative Researcher",BlackRock,Philadelphia,JobzMall,Full-time,0,0,0,0,1,30,90000,155000.0
86,86,"Senior Quantitative Researcher, Equities",Quest Partners LLC,New York,ZipRecruiter,Full-time,1,0,0,0,1,30,200000,260000.0
88,88,Equity Options Quantitative Researcher,Two Sigma,New York,LinkedIn,Full-time,1,1,3,1,1,7,165000,325000.0
89,89,Senior Quantitative Researcher Equities,Stevens Capital Management LP,Wayne,Greenhouse,Full-time,1,1,5,1,1,30,150000,300000.0
92,92,Quantitative Research Analyst,J.P. Morgan Chase & Co.,Plano,JobzMall,Full-time,0,0,0,0,1,30,65000,120000.0
93,93,Quantitative Researcher - Leading Global Hedge Fund - Up to $300k base comp + bonus,Mondrian Alpha,New York,LinkedIn,Full-time,0,0,0,1,1,12,300,300.0
96,96,Quantitative Research Analyst,Tower Research,Charleston,Karkidi,Full-time,1,0,3,0,0,30,120000,200000.0
100,100,"Analyst, Quantitative Research, Equities - Asset Management",Principal Financial Group,Seattle,LinkedIn,Full-time,0,0,3,0,1,4,86450,147600.0
101,101,Quantitative Researcher Intern,Xantium,New York,ZipRecruiter,Full-time,0,0,0,0,1,30,10000,15000.0
103,103,Sr. Quantitative Survey Researcher,Gartner Careers,Irving,Gartner,Full-time,1,0,0,1,1,18,7200,7200.0
104,104,Quantitative Researcher,Vanguard,Scottsdale,JobzMall,Full-time,0,0,0,1,1,30,85000,150000.0
106,106,Quantitative Researcher and Developer,Open Systems Technologies,New York,Open Systems Technologies,Full-time,0,0,3,0,0,30,200,280.0
109,109,"Associate, Quantitative Researcher, Credit Systematic Market Making",The Goldman Sachs Group,New York,JobzMall,Full-time,0,0,0,0,0,30,90000,150000.0
